s,N,a,ratio_neg,ratio_pos,,
0.470003629,300,3,1.05655105,1.156299081,,
0.470003629,500,3,1.043513422,1.09744778,,
0.470003629,700,3,1.033524594,1.114642442,,
0.470003629,1000,3,1.019455551,1.09247098,,
0.470003629,2000,3,0.971724276,1.049985805,,
0.470003629,3000,3,1.034610044,1.019946408,,
0.470003629,5000,3,0.998274945,1.032450581,,
0.470003629,7000,3,0.98611412,1.031858319,,
0.470003629,10000,3,0.984025856,0.99056962,,
0.470003629,50000,3,1.008668222,0.977623777,,
0.470003629,100000,3,1.003291067,1.014779013,,
0.470003629,100,4,1.097309982,1.316675989,,
0.470003629,200,4,1.040466865,1.268999198,,
0.470003629,300,4,1.089100661,1.23684453,,
0.470003629,500,4,1.050590422,1.125198689,,
0.470003629,700,4,1.064380846,1.152986987,,
0.470003629,1000,4,1.026840928,1.138152443,,
0.470003629,2000,4,0.98977167,1.079666206,,
0.470003629,3000,4,1.051702422,1.065065432,,
0.470003629,5000,4,1.011205943,1.052689095,,
0.470003629,7000,4,0.993644105,1.045302528,,
0.470003629,10000,4,1.0005287,1.007586036,,
0.470003629,50000,4,1.010246847,1.000351077,,
0.470003629,100000,4,1.014293913,1.014860855,,
0.470003629,100,5,1.175981674,1.45625324,,
0.470003629,200,5,1.078946749,1.376249089,,
0.470003629,300,5,1.14392189,1.323963463,,
0.470003629,500,5,1.101275641,1.200668741,,
0.470003629,700,5,1.096300529,1.196449869,,
0.470003629,1000,5,1.045285656,1.177782383,,
0.470003629,2000,5,0.999142501,1.120702733,,
0.470003629,3000,5,1.074399425,1.098896687,,
0.470003629,5000,5,1.025013245,1.073606885,,
0.470003629,7000,5,1.001777866,1.051205195,,
0.470003629,10000,5,1.005987634,1.026702847,,
0.470003629,50000,5,1.011248203,1.027508904,,
0.470003629,100000,5,1.017778693,1.030420823,,
0.470003629,100,6,1.270331807,1.612080438,,
0.470003629,200,6,1.149314098,1.487443321,,
0.470003629,300,6,1.196627309,1.413423203,,
0.470003629,500,6,1.14631195,1.277795427,,
0.470003629,700,6,1.134391724,1.261400693,,
0.470003629,1000,6,1.085250402,1.22286408,,
0.470003629,2000,6,1.015970419,1.166454949,,
0.470003629,3000,6,1.091696908,1.134754444,,
0.470003629,5000,6,1.034455885,1.102207001,,
0.470003629,7000,6,1.013733907,1.065270189,,
0.470003629,10000,6,1.014319648,1.040160808,,
0.470003629,50000,6,1.013678701,1.034550614,,
0.470003629,100000,6,1.027482059,1.034206786,,
0.470003629,100,7,1.368855721,1.812133274,,
0.470003629,200,7,1.228090306,1.629516708,,
0.470003629,300,7,1.261658165,1.527658114,,
0.470003629,500,7,1.198922873,1.365869983,,
0.470003629,700,7,1.180869153,1.328546749,,
0.470003629,1000,7,1.131704954,1.285269866,,
0.470003629,2000,7,1.045408736,1.203519164,,
0.470003629,3000,7,1.105110364,1.174946574,,
0.470003629,5000,7,1.059805208,1.125988818,,
0.470003629,7000,7,1.024860493,1.083210435,,
0.470003629,10000,7,1.025121377,1.052334375,,
0.470003629,50000,7,1.019140905,1.045507392,,
0.470003629,100000,7,1.039976953,1.04880913,,
0.587786665,100,1,0.895391814,1.062504494,,
0.587786665,200,1,0.934084621,1.037998411,,
0.587786665,300,1,0.960728474,1.046082465,,
0.587786665,500,1,0.97376173,1.016289811,,
0.587786665,700,1,0.970493325,1.0369538,,
0.587786665,1000,1,0.988379638,1.023827555,,
0.587786665,2000,1,1.006953197,1.021295183,,
0.587786665,3000,1,0.991055828,0.993107386,,
0.587786665,5000,1,1.000649473,0.993505399,,
0.587786665,7000,1,0.978618392,1.01588365,,
0.587786665,10000,1,0.999804717,1.013921368,,
0.587786665,50000,1,1.012270763,1.00329966,,
0.587786665,100000,1,0.983531145,0.992205938,,
0.587786665,100,2,0.932767721,1.17030078,,
0.587786665,200,2,0.970931765,1.141017137,,
0.587786665,300,2,0.979236037,1.124337282,,
0.587786665,500,2,0.990180964,1.062624463,,
0.587786665,700,2,0.96842056,1.078183274,,
0.587786665,1000,2,1.012989263,1.0492723,,
